,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor,Discount,Price Range,Product Category,Revenue
24,187,225,Innisfree,AA16107510001,男士森林清新護理套盒(黑) [平行進口],2-day group shipment,5.0,Innisfree - 男士森林清新護理套盒(黑) [平行進口],2.0,20.0,Pink Labo,38,101-200,Cleanser,3740.0
25,225,250,Melvita,AA16101500001,INTENSE ROSE EXTRAORDINARY WATER 100ML,2-day group shipment,3.0,Melvita - INTENSE ROSE EXTRAORDINARY WATER 100ML,1.0,50.0,Melvita - French Organic Beauty Care,25,201-300,Others,11250.0
26,249,335,LAB SERIES,AA16107520001,RESCUE WATER LOTION 200ML [Parallel Import Product],2-day group shipment,,LAB SERIES - RESCUE WATER LOTION 200ML [Parallel Import Product],,50.0,KINGSWAY BEAUTY,86,201-300,Moisturizer,12450.0
27,49,129,Mentholatum for Men,AA16107530001,OC cooling gel 50ml,immediate shipment,,Mentholatum for Men - OC cooling gel 50ml,,80.0,HKTVmall Outlet,80,0-100,After Shave Care,3920.0
28,42,69,Shiseido ,AA16107510001,UNO Whip Speedy Cleanser (Refill) 130ml (Parallel Import),2-day group shipment,5.0,Shiseido  - UNO Whip Speedy Cleanser (Refill) 130ml (Parallel Import),1.0,50.0,Pretties HK,27,0-100,Cleanser,2100.0
29,57,128,Shiseido 資生堂,AA16107520001,UNO All-in-One Cream Perfection For Men 90g [Parallel Import] (4901872449705),2-day group shipment,5.0,Shiseido 資生堂 - UNO All-in-One Cream Perfection For Men 90g [Parallel Import] (4901872449705),1.0,50.0,Royal Cosmetics,71,0-100,Moisturizer,2850.0
30,50,128,ISHIZAWA LAB,AA16107520001,Men with zero pore mask 10PCS/BAG(4992440036021),2-day group shipment,4.3,ISHIZAWA LAB - Men with zero pore mask 10PCS/BAG(4992440036021),15.0,600.0,Jadora 日本美妝護膚,78,0-100,Moisturizer,30000.0
31,385,580,LAB SERIES,AA16107520001,AGE RESCUE+  Face Lotion 50ml [Parallel Import Product],2-day group shipment,4.3,LAB SERIES - AGE RESCUE+  Face Lotion 50ml [Parallel Import Product],3.0,100.0,KINGSWAY BEAUTY,195,301-400,Moisturizer,38500.0
32,234,260,Melvita,AA16102020101,ARGAN OIL 50ML,2-day group shipment,,Melvita - ARGAN OIL 50ML,,40.0,Melvita - French Organic Beauty Care,26,201-300,Others,9360.0
33,81,158,L'oreal,AA16107520001,Men Expert Hydra Sensitive Moisturiser  -[Parallel Import Product],2-day group shipment,5.0,L'oreal - Men Expert Hydra Sensitive Moisturiser  -[Parallel Import Product],5.0,90.0,Beautique,77,0-100,Moisturizer,7290.0
34,154,288,CURE,AA16100570001,Natural Aqua Gel (Newest Version) 250g,2-day group shipment,,CURE - Natural Aqua Gel (Newest Version) 250g,,70.0,Manna Emporium,134,101-200,Others,10780.0
35,49,129,Mentholatum for Men,AA16107530001,HY Skin replenisher 50ml,immediate shipment,,Mentholatum for Men - HY Skin replenisher 50ml,,60.0,HKTVmall Outlet,80,0-100,After Shave Care,2940.0
36,26,52,Shiseido 資生堂,AA16107510001,Uno Whip Scrub (Blue) 130g (4901872449682),2-day group shipment,5.0,Shiseido 資生堂 - Uno Whip Scrub (Blue) 130g (4901872449682),1.0,70.0,The One Baby,26,0-100,Cleanser,1820.0
37,355,520,Biotherm,AA16107520001,Excell Bright Brigntening Peeling Moisturizer (Parallel Import),2-day group shipment,5.0,Biotherm - Excell Bright Brigntening Peeling Moisturizer (Parallel Import),1.0,,AYO Cosmetic,165,301-400,Moisturizer,
38,630,900,LAB SERIES,AA16102010101,MAX LS POWER V LIFTING LOTION 50ML [Parallel Import Product],2-day group shipment,,LAB SERIES - MAX LS POWER V LIFTING LOTION 50ML [Parallel Import Product],,20.0,KINGSWAY BEAUTY,270,601-700,Others,12600.0
39,290,483,CLINIQUE,AA16107520001,FOR MEN MAXIMUM HYDRATOR ACTIVATED WATER-GEL CONCENTRATE 48ML [Parallel Import],2-day group shipment,5.0,CLINIQUE - FOR MEN MAXIMUM HYDRATOR ACTIVATED WATER-GEL CONCENTRATE 48ML [Parallel Import],1.0,,The One Baby,193,201-300,Moisturizer,
40,27,41,Shiseido UNO,AA16107510001,Whip Wash Moist Men's Moisturizing Face Cleanser 130g（Green) (Parallel import)Japan,2-day group shipment,4.5,Shiseido UNO - Whip Wash Moist Men's Moisturizing Face Cleanser 130g（Green) (Parallel import)Japan,10.0,400.0,Hey iLady,14,0-100,Cleanser,10800.0
41,258,482,LAB SERIES,AA16107520001,Lab Series Rescue Water Lotion  -[Parallel Import Product],2-day group shipment,4.7,LAB SERIES - Lab Series Rescue Water Lotion  -[Parallel Import Product],7.0,600.0,Beautique,224,201-300,Moisturizer,154800.0
42,38,128,Voodoo,AA16100510001,AMEZON Pore Refine Deep Cleansing Foam 100ml,2-day group shipment,5.0,Voodoo - AMEZON Pore Refine Deep Cleansing Foam 100ml,1.0,,Manna Emporium,90,0-100,Cleansing Milk,
43,261,290,Melvita,AA13200560001,UV SHIELD SPF35 30ML,2-day group shipment,,Melvita - UV SHIELD SPF35 30ML,,20.0,Melvita - French Organic Beauty Care,29,201-300,Others,5220.0
44,243,243,Melvita,AA16102020101,PERFUMED ARGAN OIL 50 ML,2-day group shipment,,Melvita - PERFUMED ARGAN OIL 50 ML,,20.0,Melvita - French Organic Beauty Care,0,201-300,Others,4860.0
45,69,99,Cremo,AA13107520001,Cooling Shave Cream 177ml,2-day group shipment,5.0,Cremo - Cooling Shave Cream 177ml,1.0,,Global Brand 全球直送,30,0-100,Others,
46,63,79,L'Oreal Paris,AA16107510001,Men Expert Pure & Matte VOLCANO RED FOAM*034466,2-day group shipment,4.0,L'Oreal Paris - Men Expert Pure & Matte VOLCANO RED FOAM*034466,2.0,100.0,L’Oreal Paris HK Flagship Store,16,0-100,Cleanser,6300.0
47,196,79,Biotherm,AA16107520001,Homme Total Recharge Eye Care 15ml   [Parallel Import] EXP2021.02,2-day group shipment,4.5,Biotherm - Homme Total Recharge Eye Care 15ml   [Parallel Import] EXP2021.02,2.0,40.0,Beauty U & ME,-117,101-200,Moisturizer,7840.0
48,68,112,Shiseido,AA13201830001,UNO Hyaluronic Acid Toner 200ml,2-day group shipment,5.0,Shiseido - UNO Hyaluronic Acid Toner 200ml,4.0,100.0,Beauty Soulmates,44,0-100,Others,6800.0
49,510,818,Christian Dior,AA16107520001,Homme Dermo System Repairing Moisturizing Emulsion  -[Parallel Import Product],2-day group shipment,,Christian Dior - Homme Dermo System Repairing Moisturizing Emulsion  -[Parallel Import Product],,30.0,Beautique,308,501-600,Moisturizer,15300.0
50,214,409,Clarins,AA16107520001,Men Anti-Fatigue Eye Serum  -[Parallel Import Product],2-day group shipment,5.0,Clarins - Men Anti-Fatigue Eye Serum  -[Parallel Import Product],1.0,100.0,Beautique,195,201-300,Moisturizer,21400.0
